# theta phi range e3 ex4
8.806018799999999658e+01 1.211267299999999913e+01 4.334821699999999822e+01 7.991700000000000470e-01 -9.468999999999999639e-02
8.850096000000000629e+01 4.900128300000000081e+01 6.597678100000000256e+01 1.352044000000000024e+00 -9.090059999999999807e-01
8.830870899999999324e+01 2.231362159999999903e+02 6.204475800000000163e+01 1.257085999999999926e+00 -6.718119999999999647e-01
8.698363700000000165e+01 1.400476439999999911e+02 3.902108700000000141e+01 6.946240000000000192e-01 5.503689999999999971e-01
8.613647199999999771e+01 3.269690309999999727e+02 3.975831699999999813e+01 7.123249999999999860e-01 9.930369999999999475e-01
8.791216900000000578e+01 2.057175970000000120e+02 4.665998100000000193e+01 8.800139999999999629e-01 -7.346400000000000152e-02
8.732966000000000406e+01 2.961915950000000066e+02 5.541234599999999944e+01 1.095002000000000031e+00 1.330409999999999926e-01
8.870525200000000154e+01 1.951362129999999979e+02 2.698766300000000129e+01 4.157069999999999932e-01 -9.150600000000000400e-02
8.707150699999999688e+01 2.239404979999999910e+02 5.184585200000000071e+01 1.007346000000000075e+00 3.540280000000000094e-01
8.806443299999999397e+01 1.680985499999999888e+01 5.776074500000000000e+01 1.152590000000000003e+00 -4.025790000000000202e-01
8.850384300000000337e+01 1.886686760000000049e+02 3.722744399999999843e+01 6.517870000000000053e-01 -2.069950000000000123e-01
8.845201199999999631e+01 2.119551010000000133e+02 5.564667899999999889e+01 1.100754999999999928e+00 -6.111149999999999638e-01
8.668387400000000298e+01 2.077952760000000012e+02 4.372184899999999885e+01 8.082610000000000072e-01 6.754909999999999526e-01
8.717180000000000462e+01 1.272025720000000035e+02 4.766840299999999786e+01 9.047260000000000302e-01 3.496250000000000191e-01
8.937309799999999882e+01 2.086228659999999877e+02 3.297932099999999878e+01 5.518659999999999677e-01 -5.255849999999999689e-01
8.965811899999999923e+01 2.041687919999999963e+02 4.165249899999999883e+01 7.580249999999999488e-01 -9.370899999999999785e-01
8.634696200000000488e+01 4.195892599999999817e+01 6.084976400000000041e+01 1.228029000000000037e+00 7.233829999999999982e-01
8.702546100000000706e+01 3.181457120000000032e+02 4.282899799999999857e+01 7.865499999999999714e-01 4.920800000000000174e-01
8.701836699999999780e+01 3.916774199999999695e+01 4.806990900000000266e+01 9.145739999999999981e-01 4.363799999999999901e-01
8.674808899999999312e+01 1.988970809999999858e+02 3.064682499999999976e+01 4.981099999999999972e-01 7.040880000000000472e-01
8.671681300000000192e+01 3.576471740000000068e+02 5.046860199999999708e+01 9.734859999999999625e-01 5.927229999999999999e-01
8.533111599999999441e+01 1.906799080000000117e+02 3.032561000000000107e+01 4.907779999999999920e-01 1.327139000000000069e+00
8.660585199999999872e+01 3.408712879999999927e+02 4.458550699999999978e+01 8.293080000000000451e-01 7.131380000000000496e-01
8.702816599999999880e+01 3.320105479999999716e+02 5.033269399999999649e+01 9.701459999999999528e-01 4.015690000000000093e-01
8.783312599999999293e+01 3.367989729999999895e+02 4.992989299999999986e+01 9.602469999999999617e-01 -8.884000000000000230e-02
8.623851200000000006e+01 2.342727120000000127e+02 4.470817399999999964e+01 8.323000000000000398e-01 9.225799999999999557e-01
8.681248899999999935e+01 3.198802939999999921e+02 3.832603900000000152e+01 6.779840000000000311e-01 6.445089999999999986e-01
8.868611099999999681e+01 3.175380440000000135e+02 4.228928100000000256e+01 7.734520000000000284e-01 -4.203749999999999987e-01
8.859373200000000281e+01 2.535793500000000122e+01 3.768842200000000275e+01 6.627629999999999910e-01 -2.629230000000000178e-01
8.941770099999999388e+01 2.148667130000000043e+02 3.994454199999999844e+01 7.168039999999999967e-01 -7.530649999999999844e-01
8.742576900000000251e+01 3.111512040000000070e+02 3.718473099999999931e+01 6.507709999999999884e-01 3.406210000000000071e-01
8.655564300000000344e+01 2.356942929999999876e+02 6.294650099999999782e+01 1.278955999999999982e+00 5.519290000000000029e-01
8.656846799999999575e+01 3.264698769999999968e+02 2.975094500000000153e+01 4.777049999999999907e-01 7.824400000000000244e-01
8.886290800000000445e+01 1.948970319999999958e+02 3.440273100000000284e+01 5.850779999999999870e-01 -3.207039999999999891e-01
8.642236599999999669e+01 2.211460209999999904e+02 4.317873399999999862e+01 7.950490000000000057e-01 8.260999999999999455e-01
8.858223099999999306e+01 3.501635900000000134e+01 4.642510999999999655e+01 8.742640000000000411e-01 -4.628970000000000029e-01
